date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,TotalConfCases,TotalCured,TotalDeaths,TotalSerious,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
28.02.20,CH,8544500,,18.45%,1576463,23111,0.002704781,,9,,,,,1.05331E-06,,,,,,,,,
01.03.20,CH,8544500,,18.45%,1576463,23111,0.002704781,,24,,,,,2.80882E-06,,,,,,,,,
03.03.20,CH,8544500,,18.45%,1576463,23111,0.002704781,,40,,,,,4.68137E-06,,,,,,,,,
04.03.20,CH,8544500,,18.45%,1576463,23111,0.002704781,,60,,,,,7.02206E-06,,,,,,,,,
05.03.20,CH,8544500,,18.45%,1576463,23111,0.002704781,,80,,,1,,9.36275E-06,,,,,,,,,
06.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,207,NA,,,,2.42261E-05,,,,,,,,,
07.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,262,NA,,,,3.0663E-05,,,,,,,,,
08.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,331,NA,,,,3.87384E-05,,,,,,,,,
09.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,372,NA,,,,4.35368E-05,,,,,,,,,
10.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,490,NA,,1,,5.73468E-05,,,,,,,,,
11.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,638,NA,,,,7.46679E-05,,,,,,,,,
12.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,851,NA,,,,9.95962E-05,,,,,,,,,
13.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,1120,NA,,7,,0.000131078,,,,,,,,,
14.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,1353,1188,,,,0.000158347,#VALUE!,,,,,,,,
15.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,2155,,,,,0.000252209,,,,,,,,,
16.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,2327,,4,14,0,0.000272339,,,,,,,,,
17.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,2650,,4,19,0,0.000310141,,,,,,,,,
18.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,3513,,4,35,0,0.000411142,,,,,,,,,
19.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,4363,,,39,0,0.000510621,,,,,,,,,
20.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,4840,,15,43,0,0.000566446,,,,,,,,,
21.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,6113,,,56,,0.000715431,,,,,,,,,
22.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,7014,,,60,,0.000820879,,,,,,,,,
23.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,8060,,,70,,0.000943297,,,,,,,,,
24.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,8836,,,86,,0.001034116,,,,,,,,,
25.03.2020,CH,8544500,,18.45%,1576463,23111,0.002704781,,10530,,,148,,0.001232372,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,