date,canton,population,density,O65_perc,O65,beds,bedsPerCapita,TotalTestedCases,tested_pos,TotalConfCases,TotalCured,TotalDeaths,,Pos_Pop_rate,Conf_Pop_rate,,,,,,,,
28.02.20,AG,678207,482,17.70%,120043,1450,0.00213799,,1,,,,,1.47448E-06,,,BS: neue fälle,,,,,,
29.02.20,AG,678207,482,17.70%,120043,1450,0.00213799,,1,,,,,1.47448E-06,,,AG: total,,,,,,
01.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,1,,,,,1.47448E-06,,,,,,,,,
02.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,2,,,,,2.94895E-06,,,,,,,,,
03.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,6,,,,,8.84686E-06,,,,,,,,,
04.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,7,,,,,1.03213E-05,,,,,,,,,
05.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,9,,,,,1.32703E-05,,,,,,,,,
06.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,10,NA,,,,1.47448E-05,,,,,,,,,
07.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,NA,2,,,2.06427E-05,,,,,,,,,
08.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,NA,,,,2.06427E-05,,,,,,,,,
09.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,14,NA,,,,2.06427E-05,,,,,,,,,
10.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,15,NA,,,,2.21171E-05,,,,,,,,,
11.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,17,NA,,,,2.50661E-05,,,,,,,,,
12.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,27,NA,3,,,3.98109E-05,,,,,,,,,
13.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,32,NA,3,,,4.71832E-05,,,,,,,,,
14.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,31,26,,,,4.57088E-05,3.83364E-05,,,,,,,,
15.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,43,,3,,,6.34025E-05,,,,,,,,,
16.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,52,,4,,,7.66728E-05,,,,,,,,,
17.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,67,,4,,,9.87899E-05,,,,,,,,,
18.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,101,,4,,,0.000148922,,,,,,,,,
19.03.20,AG,678207,482,17.70%,120043,1450,0.00213799,,118,,,,,0.000173988,,,,,,,,,
06.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
07.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
08.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
09.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
10.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
11.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
12.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
13.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,0,NA,,,,0,,,,,,,,,
14.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,0,,,,0.000123877,0,,,,,,,,
15.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,,,,,0.000123877,,,,,,,,,
16.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,,,,,0.000123877,,,,,,,,,
17.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,2,,,,,0.000123877,,,,,,,,,
18.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,,,,,0.000185816,,,,,,,,,
19.03.20,AI,16145,93,19.10%,3084,18,0.001114896,,3,,,,,0.000185816,,,,,,,,,
06.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,NA,,,,1.81048E-05,,,,,,,,,
07.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,NA,,,,1.81048E-05,,,,,,,,,
08.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,1,NA,,,,1.81048E-05,,,,,,,,,
09.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,3.62096E-05,,,,,,,,,
10.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,3.62096E-05,,,,,,,,,
11.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,3.62096E-05,,,,,,,,,
12.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,2,NA,,,,3.62096E-05,,,,,,,,,
13.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,5,NA,,,,9.0524E-05,,,,,,,,,
14.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,5,3,,,,9.0524E-05,5.43144E-05,,,,,,,,
15.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,,,,,,,,,,,,,,,
16.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,,,,,,,,,,,,,,,
17.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,,,,,,,,,,,,,,,
18.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,10,,,,,0.000181048,,,,,,,,,
19.03.20,AR,55234,227,19.70%,10881,208,0.003765796,,16,,,,,0.000289677,,,,,,,,,
06.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,20,NA,,,,1.93241E-05,,,,,,,,,
07.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,25,NA,,,,2.41551E-05,,,,,,,,,
08.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,31,NA,,,,2.99524E-05,,,,,,,,,
09.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,34,NA,,,,3.2851E-05,,,,,,,,,
10.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,39,NA,,,,3.7682E-05,,,,,,,,,
11.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,41,NA,,,,3.96144E-05,,,,,,,,,
12.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,51,NA,,,,4.92765E-05,,,,,,,,,
13.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,62,NA,,,,5.99047E-05,,,,,,,,,
14.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,78,69,,,,7.5364E-05,6.66681E-05,,,,,,,,
15.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,,,,,,,,,,,,,,,
16.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,131,,,,,0.000126573,,,,,,,,,
17.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,,,,,,,,,,,,,,,
18.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,193,,,,,0.000186478,,,,,,,,,
19.03.20,BE,1034977,174,20.80%,215275,3053,0.002949824,,282,,,1,,0.00027247,,,,,,,,,
06.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,9,NA,,,,3.12357E-05,,,,,,,,,
07.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,13,NA,,,,4.51182E-05,,,,,,,,,
08.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,19,NA,,,,6.5942E-05,,,,,,,,,
09.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,20,NA,,,,6.94126E-05,,,,,,,,,
10.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,22,NA,,,,7.63539E-05,,,,,,,,,
11.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,23,NA,,,,7.98245E-05,,,,,,,,,
12.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,29,NA,,,,0.000100648,,,,,,,,,
13.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,42,NA,,,,0.000145767,,,,,,,,,
14.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,48,41,,,,0.00016659,0.000142296,,,,,,,,
15.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,,,,,,,,,,,,,,,
16.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,,,,,,,,,,,,,,,
17.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,,,,,,,,,,,,,,,
18.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,116,,,,,0.000402593,,,,,,,,,
19.03.20,BL,288132,556,21.90%,63101,582,0.002019908,,134,,,,,0.000465065,,,,,,,,,
27.02.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,1,,,,,5.13437E-06,,,,,,,,,
28.02.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,,,,,,,,,,,,,,,
29.02.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,,,,,,,,,,,,,,,
01.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,,,,,,,,,,,,,,,
02.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,3,,,,,1.54031E-05,,,,,,,,,
03.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,,,,,,,,,,,,,,,
04.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,8,,,,,4.10749E-05,,,,,,,,,
05.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,,,,,,,,,,,,,,,
06.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,17,NA,,,,8.72842E-05,,,,,,,,,
07.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,22,NA,,,,0.000112956,,,,,,,,,
08.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,25,NA,,,,0.000128359,,,,,,,,,
09.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,29,NA,,,,0.000148897,,,,,,,,,
10.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,39,NA,,,,0.00020024,,,,,,,,,
11.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,49,NA,,,,0.000251584,,,,,,,,,
12.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,80,NA,,1,,0.000410749,,,,,,,,,
13.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,111,NA,,,,0.000569915,,,,,,,,,
14.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,119,100,,,,0.00061099,0.000513437,,,,,,,,
15.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,,,,,,,,,,,,,,,
16.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,144,,,,,0.000739349,,,,,,,,,
17.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,165,,,,,0.00084717,,,,,,,,,
18.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,182,,,,,0.000934455,,,,,,,,,
19.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,222,,,,,0.001139829,,,,,,,,,
20.03.20,BS,194766,5264,19.90%,38758,1199,0.006156105,,272,,,,,0.001396548,,,,,,,,,
06.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,7,NA,,,,2.19633E-05,,,,,,,,,
07.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,7,NA,,,,2.19633E-05,,,,,,,,,
08.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,8,NA,,,,2.51009E-05,,,,,,,,,
09.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,10,NA,,,,3.13761E-05,,,,,,,,,
10.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,12,NA,,,,3.76513E-05,,,,,,,,,
11.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,16,NA,,,,5.02017E-05,,,,,,,,,
12.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,26,NA,,,,8.15778E-05,,,,,,,,,
13.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,31,NA,,,,9.72659E-05,,,,,,,,,
14.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,38,31,,,,0.000119229,9.72659E-05,,,,,,,,
15.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,,,,,,,,,,,,,,,
16.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,,,,,,,,,,,,,,,
17.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,,,,,,,,,,,,,,,
18.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,67,,,1,,0.00021022,,,,,,,,,
19.03.20,FR,318714,191,15.70%,50038,547,0.001716272,,82,,,,,0.000257284,,,,,,,,,
06.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,16,NA,,,,3.2307E-05,,,,,,,,,
07.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,25,NA,,,,5.04797E-05,,,,,,,,,
08.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,38,NA,,,,7.67291E-05,,,,,,,,,
09.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,40,NA,,,,8.07675E-05,,,,,,,,,
10.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,53,NA,,,,0.000107017,,,,,,,,,
11.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,78,NA,,,,0.000157497,,,,,,,,,
12.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,76,NA,,,,0.000153458,,,,,,,,,
13.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,86,NA,,,,0.00017365,,,,,,,,,
14.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,107,103,,,,0.000216053,0.000207976,,,,,,,,
15.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,294,,,,,0.000593641,,,,,,,,,
16.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,382,,,,,0.000771329,,,,,,,,,
17.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,,,,,,,,,,,,,,,
18.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,468,,,,,0.000944979,,,,,,,,,
19.03.20,GE,495249,1771,16.40%,81221,1506,0.003040895,,,,,,,,,,,,,,,,
06.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
07.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
08.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
09.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
10.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,0,NA,,,,0,,,,,,,,,
11.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,2,NA,,,,4.95013E-05,,,,,,,,,
12.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,2,NA,,,,4.95013E-05,,,,,,,,,
13.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,4,NA,,,,9.90025E-05,,,,,,,,,
14.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,5,3,,,,0.000123753,7.42519E-05,,,,,,,,
15.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,,,,,,,,,,,,,,,
16.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,,,,,,,,,,,,,,,
17.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,,,,,,,,,,,,,,,
18.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,10,,,,,0.000247506,,,,,,,,,
19.03.20,GL,40403,59,20.10%,8121,86,0.002128555,,16,,,,,0.00039601,,,,,,,,,
27.02.20,GR,198379,28,21.30%,42255,546,0.002752307,,1,,,,,5.04086E-06,,,,,,,,,
28.02.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
29.02.20,GR,198379,28,21.30%,42255,546,0.002752307,,5,,,,,2.52043E-05,,,,,,,,,
01.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
02.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
03.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
04.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
05.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,10,,,,,5.04086E-05,,,,,,,,,
06.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,13,NA,,,,6.55311E-05,,,,,,,,,
07.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,15,NA,,,,7.56128E-05,,,,,,,,,
08.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,17,NA,,,,8.56946E-05,,,,,,,,,
09.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,17,NA,,,,8.56946E-05,,,,,,,,,
10.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,18,NA,,,,9.07354E-05,,,,,,,,,
11.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,23,NA,,,,0.00011594,,,,,,,,,
12.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,28,NA,,,,0.000141144,,,,,,,,,
13.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,39,NA,,,,0.000196593,,,,,,,,,
14.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,47,43,,,,0.00023692,0.000216757,,,,,,,,
15.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
16.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,,,,,,,,,,,,,,,
17.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,64,,,1,,0.000322615,,,,,,,,,
18.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,116,,,,,0.000584739,,,,,,,,,
19.03.20,GR,198379,28,21.30%,42255,546,0.002752307,,123,,,,,0.000620025,,,,,,,,,
06.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,1,NA,,,,1.36205E-05,,,,,,,,,
07.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,3,NA,,,,4.08614E-05,,,,,,,,,
08.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,3,NA,,,,4.08614E-05,,,,,,,,,
09.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,3,NA,,,,4.08614E-05,,,,,,,,,
10.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,4,NA,,,,5.44818E-05,,,,,,,,,
11.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,5,NA,,,,6.81023E-05,,,,,,,,,
12.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,7,NA,,,,9.53432E-05,,,,,,,,,
13.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,7,NA,,,,9.53432E-05,,,,,,,,,
14.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,10,7,,,,0.000136205,9.53432E-05,,,,,,,,
15.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,,,,,,,,,,,,,,,
16.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,,,,,,,,,,,,,,,
17.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,23,,,,,0.00031327,,,,,,,,,
18.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,25,,,,,0.000340511,,,,,,,,,
19.03.20,JU,73419,88,20.90%,15345,145,0.001974966,,27,,,,,0.000367752,,,,,,,,,
06.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,2,NA,,,,4.88333E-06,,,,,,,,,
07.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,4,NA,,,,9.76665E-06,,,,,,,,,
08.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,6,NA,,,,1.465E-05,,,,,,,,,
09.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,5,NA,,,,1.22083E-05,,,,,,,,,
10.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,6,NA,,,,1.465E-05,,,,,,,,,
11.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,7,NA,,,,1.70916E-05,,,,,,,,,
12.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,8,NA,,,,1.95333E-05,,,,,,,,,
13.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,13,NA,,,,3.17416E-05,,,,,,,,,
14.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,19,9,,,,4.63916E-05,2.1975E-05,,,,,,,,
15.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,,,,,,,,,,,,,,,
16.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,,,,,,,,,,,,,,,
17.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,50,,,,,0.000122083,,,,,,,,,
18.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,48,,,,,0.0001172,,,,,,,,,
19.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,63,,,,,0.000153825,,,,,,,,,
20.03.20,LU,409557,274,17.60%,72082,977,0.002385504,,92,,,,,0.000224633,,,,,,,,,
06.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,8,NA,,,,4.49529E-05,,,,,,,,,
07.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,11,NA,,,,6.18103E-05,,,,,,,,,
08.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,13,NA,,,,7.30485E-05,,,,,,,,,
09.03.20,NE,177964,220,19.00%,33813,385,0.002163359,,17,NA,,,,9.55249E-05,,,,,,,,,
